Beat,Description,Grid,Occurence_Date,Offense_Category,Offense_Code,Offense_Ext,Police_District,Record_ID,Day_of_the_Week,Month,Year,Hour,Encoded_Beat
1B,459 PC BURG VEHICLE,440,"Wed 04-15-2020, 06:00:00 PM",BURGLARY,2299,01,1,1450899,3,15,2020,18,1
4A,484 PC PETTY THEFT,927,"Sat 04-18-2020, 12:45:00 PM",LARCENY,2399,2,4,1450903,6,18,2020,12,9
1B,484 PC PETTY THEFT,412,"Sat 04-18-2020, 03:30:00 PM",LARCENY,2399,2,1,1450905,6,18,2020,15,1
5C,484 PETTY THEFT/LICENSE PLATE,1647,"Fri 04-24-2020, 08:00:00 AM",LARCENY,2399,4,5,1450911,5,24,2020,08,14
4C,459 PC BURG VEHICLE,1285,"Thu 04-16-2020, 11:20:00 PM",BURGLARY,2299,01,4,1450913,4,16,2020,23,11
6D,484 PETTY THEFT CLOUT UNLOCKED,846,"Mon 04-13-2020, 11:30:00 PM",LARCENY,2305,0,6,1450914,1,13,2020,23,18
4A,459 PC BURG VEHICLE,918,"Sat 04-18-2020, 04:35:00 PM",BURGLARY,2299,01,4,1450915,6,18,2020,16,9
2C,459 PC BURG VEHICLE,617,"Sat 04-18-2020, 05:00:00 AM",BURGLARY,2299,01,2,1450916,6,18,2020,05,5
6C,459 PC BURG BUSINESS-FORCE,1427,"Fri 04-24-2020, 03:11:00 AM",BURGLARY,2203,0,6,1450917,5,24,2020,03,17
5A,459 PC BURG VEHICLE,1381,"Fri 04-17-2020, 01:00:00 AM",BURGLARY,2299,01,5,1450918,5,17,2020,01,12
4A,1708 US THEFT OF MAIL,926,"Wed 04-08-2020, 04:00:00 PM",LARCENY,2310,0,4,1450921,3,08,2020,16,9
2C,459 PC BURG VEHICLE,617,"Sat 04-18-2020, 06:00:00 AM",BURGLARY,2299,01,2,1450922,6,18,2020,06,5
5A,484 PC PETTY THEFT,1394,"Sat 04-18-2020, 09:45:00 PM",LARCENY,2399,2,5,1450924,6,18,2020,21,12
6C,484 PC PETTY THEFT,1113,"Mon 04-20-2020, 12:10:00 AM",LARCENY,2399,2,6,1450926,1,20,2020,00,17
6B,484 PC PETTY THEFT,1401,"Sun 04-19-2020, 08:33:00 PM",LARCENY,2399,2,6,1450927,7,19,2020,20,16
1B,459 PC BURG VEHICLE,444,"Mon 04-20-2020, 03:30:00 PM",BURGLARY,2299,01,1,1450928,1,20,2020,15,1
1C,459 PC BURG VEHICLE,428,"Tue 04-21-2020, 06:45:00 AM",BURGLARY,2299,01,1,1450933,2,21,2020,06,2
2C,484 PC PETTY THEFT,567,"Fri 04-24-2020, 06:38:00 PM",LARCENY,2399,2,2,1450936,5,24,2020,18,5
4A,1708 US THEFT OF MAIL,927,"Mon 04-20-2020, 06:50:00 PM",LARCENY,2310,0,4,1450947,1,20,2020,18,9
4A,484 PETTY THEFT CLOUT UNLOCKED,934,"Tue 04-21-2020, 04:55:00 AM",LARCENY,2305,0,4,1450949,2,21,2020,04,9
1C,487(A) PC GRAND THEFT >$950,409,"Mon 03-23-2020, 08:00:00 AM",LARCENY,2303,1,1,1450950,1,23,2020,08,2
2A,484 PC PETTY THEFT,216,"Mon 04-20-2020, 10:11:00 PM",LARCENY,2399,2,2,1450952,1,20,2020,22,3
3B,484 PC PETTY THEFT,768,"Tue 04-21-2020, 03:12:00 AM",LARCENY,2399,2,3,1450953,2,21,2020,03,7
6E,211 PC ROBBERY-SHOPLIFT,1101,"Fri 04-24-2020, 02:31:00 PM",ROBBERY,1203,0,6,1450954,5,24,2020,14,19
3A,211 PC ROBBERY-SHOPLIFT,704,"Fri 04-24-2020, 11:02:00 AM",ROBBERY,1203,0,3,1450955,5,24,2020,11,6
4C,1708 US THEFT OF MAIL,1267,"Sat 04-25-2020, 06:15:00 AM",LARCENY,2310,0,4,1450956,6,25,2020,06,11
6C,484 PC PETTY THEFT,1424,"Sat 04-18-2020, 10:01:00 PM",LARCENY,2399,2,6,1450958,6,18,2020,22,17
6C,459 PC BURG VEHICLE,1411,"Sat 04-18-2020, 08:00:00 PM",BURGLARY,2299,01,6,1450959,6,18,2020,20,17
3B,484 PC PETTY THEFT,768,"Sat 04-04-2020, 10:00:00 AM",LARCENY,2399,2,3,1450960,6,04,2020,10,7
