hotness_score,supply_score,demand_score,median_listing_price
92.34,96.43,88.26,439493.5
92.08,92.86,91.3,279550
91.66,95.63,87.69,414695
91.37,96.95,85.78,275050
90.87,92.53,89.2,245050
90.01,92.53,87.48,317550
89.69,93.24,86.13,372050
89.06,97.63,80.49,399050
88.75,90.03,87.48,325050
88.4,95.34,81.46,269550
87.79,98.63,76.95,222550
85.92,86.98,84.85,719950
85.79,96.21,75.38,259550
85.58,94.73,76.43,326050
84.42,90.47,78.38,290665
83.94,98.03,69.85,312500
83.42,96.21,70.62,317494
78.36,73.76,82.96,654437.5
77.12,79.17,75.06,245500
54.6,46.75,62.45,591856.5
94.76,95.25,94.27,315050
94.02,92.8,95.23,581050
93.7,97.67,89.72,340050
92.97,96.1,89.84,310050
92.84,89.75,95.92,459050
92.42,95.25,89.59,409950
91.92,93.76,90.07,280050
91.71,92.8,90.62,475050
91.59,98.45,84.72,259050
90.87,96.6,85.13,343199
90.85,87.49,94.22,585050
90.64,90.96,90.33,300000
90.18,91.8,88.55,265050
89.59,89.75,89.43,220050
89.24,96.1,82.39,315050
88.79,90.16,87.42,369050
86.79,93.76,79.83,325050
86.57,92.8,80.33,619015
85.11,83.76,86.46,295050
85.05,84.83,85.27,695050
84.1,93.76,74.44,269050
83.59,89.75,77.44,230050
80.62,88.97,72.28,250050
80.5,73.61,87.39,245050
62.92,63.56,62.29,588663
96.82,97.66,95.98,302549.5
95.63,98.37,92.89,307550
95.57,95.62,95.51,451050
95.17,97.66,92.69,251050
93.87,96.94,90.8,317500
93.78,91.48,96.09,603550
93.59,97.13,90.06,418295
93.59,96.48,90.7,294050
93.32,91.48,95.17,564500
92.63,88.81,96.44,217500
92.37,91.48,93.26,259050
91.93,96.48,87.38,357657.5
91.02,88.81,93.24,509944
90.93,93.96,87.91,369550
89.54,93.32,85.76,317500
89.27,91.48,87.05,337000
88.34,93.32,83.37,223050
86.63,89.79,83.48,235050
86.56,96.76,76.36,274950
85.25,89.79,80.71,334050
80.64,73.85,87.43,735050
78.41,83.21,73.61,577050
69.29,88.81,49.78,589050
67.18,60.31,74.04,295050
96.75,95.91,97.59,305050
95.7,96.37,95.04,558050
95.44,95.43,95.44,260049.5
94.86,95.43,94.28,299500
94.79,94.36,95.22,577050
94.76,96.37,93.15,315000
94.64,94.72,94.57,255050
94.43,96.1,92.76,312050
93.24,89.04,97.44,437425
92.25,92.4,92.1,424795
92.2,94.72,89.69,231075
91.98,95.91,88.06,322050
91.88,96.1,87.66,247050
91.44,93.74,89.13,374050
91.22,93.08,89.35,319994
90.91,88.1,93.71,540050
90.18,90.91,89.46,375050
90.02,87.55,92.49,222550
89.03,94.72,83.35,255050
86.25,84.08,88.42,365050
82.65,89.48,75.82,582050
81.21,78.25,84.17,246250
80.53,77.08,83.98,692550
76.51,66.32,86.7,288164.5
53.91,23.99,83.83,539550
97.49,96.86,98.12,422550
97.34,96.86,97.83,252050
96.67,94.94,98.4,600300
96.65,97.21,96.08,255050
96.35,93.59,99.11,300050
96.19,95.56,96.82,399050
